,Unnamed: 0,방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,장르1,장르2,가구평균시청률(%),게시글수,댓글수,동영상조회(K)
27,27,20210508,tvN,21,222139,마인,1회,미니시리즈,"이보영,김서형,이현욱",미스터리,,6.0,2290.666666666667,12416.0,10178.66666666667
28,28,20210809,KBS2,21,223551,경찰수업,1회,미니시리즈,"진영,차태현,정수정",수사,,5.966666667,1387.0,5135.5,863.0
29,29,20200619,SBS,22,223247,편의점샛별이,1회,미니시리즈,"지창욱,김유정,한선화",로맨스,,5.733333333,4652.0,24278.0,2344.25
30,30,20200222,tvN,21,222616,하이바이마마,1회,미니시리즈,"김태희,이규형,고보결",휴먼,,5.633333333,10241.75,48760.75,9532.75
31,31,20210401,tvN,22,511,마우스,10회,미니시리즈,"이승기,이희준,박주현",수사,,5.4,3649.25,25401.5,5416.25
32,32,20210703,tvN,21,223536,악마판사,1회,미니시리즈,"지성,김민정,진영",법정,미스터리,5.35,2506.333333333333,15193.0,7915.666666666667
33,33,20211112,SBS,22,230749,지금헤어지는중입니다,1회,미니시리즈,"송혜교,장기용,최희서",로맨스,,5.2,5196.666666666667,21536.33333333333,6223.0
34,34,20201007,tvN,22,234608,구미호뎐,1회,미니시리즈,"이동욱,조보아,김범",판타지,로맨스,5.1,7690.25,53130.5,12479.75
35,35,20200620,tvN,21,222657,사이코지만괜찮아,1회,미니시리즈,"김수현,서예지,오정세",로맨스,코미디,5.033333333,18447.75,91922.0,10527.25
36,36,20200822,SBS,22,230545,앨리스,,미니시리즈,"김희선,주원,김희선",판타지,,4.933333333,3534.666666666667,16673.33333333333,3249.0
37,37,20210531,SBS,22,223348,라켓소년단,1회,미니시리즈,"김상경,오나라,탕준상",스포츠,,4.9,1840.0,11105.0,1811.5
38,38,20210414,KBS2,21,220306,대박부동산,1회,미니시리즈,"장나라,정용화,강말금",퇴마,,4.866666667,1208.0,4460.25,981.25
39,39,20210503,KBS2,21,220526,오월의청춘,1회,미니시리즈,"이도현,고민시,이상이",로맨스,,4.8,2464.0,13240.0,2250.0
40,40,20210917,MBC,22,231540,검은태양,1회,미니시리즈,"남궁민,박하선,김지은",액션,,4.75,4398.666666666667,18175.33333333333,4042.333333333333
41,41,20200706,JTBC,21,223203,모범형사,1회,미니시리즈,"손현주,장승조,이엘리야",범죄,추리,4.7,1436.333333333333,3380.0,797.6666666666666
42,42,20200520,MBC,21,220206,꼰대인턴,2회,미니시리즈,"박해진,김응수,한지은",코미디,,4.633333333,3144.0,32381.66666666667,1264.666666666667
43,43,20211218,tvN,21,223239,불가살,1회,미니시리즈,"이진욱,권나라,이준",미스터리,판타지,4.6,3197.5,9241.5,1527.0
44,44,20201030,SBS,22,223203,날아라개천용,1회,미니시리즈,"권상우,배성우,김주현",법정,,4.475,1058.75,4782.0,701.75
45,45,20200106,tvN,21,224434,블랙독,7회,미니시리즈,"서현진,라미란,하준",휴먼,,4.4,3639.0,14555.0,3472.0
46,46,20200323,MBC,21,220109,365운명을거스르는1년,2회,미니시리즈,"이준혁,남지현,김지수",로맨스,판타지,4.4,3411.333333333333,14957.0,757.3333333333334
47,47,20201130,tvN,21,221152,낮과밤,1회,미니시리즈,"남궁민,김설현,이청아",추리,미스터리,4.3,1246.666666666667,5224.666666666667,2224.333333333333
48,48,20210922,KBS2,21,224157,달리와감자탕,1회,미니시리즈,"김민재,박규영,권율",로맨스,,4.233333333,820.75,4114.25,1208.0
