주차,프로그램명,채널,요일,게시글(건수),댓글(건수),동영상조회(건수),뉴스(건수),동영상(건수),게시글(점유율%),댓글(점유율%),동영상조회(점유율%),뉴스(점유율%),동영상(점유율%),가구시청자수,2049시청자수,가구시청률(%),2049시청률(%)
202048,산후조리원,tvN,월화,"1,130","8,866","3,260,113","1,443",116,1.7,1.9,4.1,3.3,1.8,"710,989","654,672",3.5,2.9
202048,KBS드라마스페셜2020,KBS2,수목,217,766,"33,460",845,51,0.3,0.2,0,1.9,0.8,"249,871","105,935",1.2,0.5
202048,제발그남자만나지마요,MBCevery1,월화,83,297,"26,559",165,27,0.1,0.1,0,0.4,0.4,"71,654","89,806",0.4,0.4
202048,라이브온,JTBC,월화,506,"6,835","770,315",436,27,0.8,1.5,1,1,0.4,"192,485","121,279",0.9,0.5
202048,복수해라,TVCHOSUN,토일,215,226,"31,827",449,19,0.3,0,0,1,0.3,"621,402","207,448",3.1,0.9
202048,경이로운소문,OCN,토일,925,"3,286","505,163","1,612",146,1.4,0.7,0.6,3.7,2.2,"799,470","670,273",3.9,3
202048,낮과밤,tvN,월화,184,"1,852","67,484",894,41,0.3,0.4,0.1,2,0.6,0,0,0,0
202048,바람피면죽는다,KBS2,수목,79,252,"2,742",396,2,0.1,0.1,0,0.9,0,0,0,0,0
202048,여신강림,tvN,수목,208,"1,165","223,759",371,3,0.3,0.2,0.3,0.8,0,0,0,0,0
202048,철인왕후,tvN,토일,301,"2,522","890,345",523,21,0.5,0.5,1.1,1.2,0.3,0,0,0,0
202048,런온,JTBC,수목,128,905,"53,032",260,5,0.2,0.2,0.1,0.6,0.1,0,0,0,0
202049,오삼광빌라,KBS2,토일,"1,013","2,302","574,372",518,71,1.5,0.4,0.7,1.2,1,"4,874,690","1,668,853",24,7.4
202049,구미호뎐,tvN,수목,"4,844","42,413","6,246,639","1,372",130,7,7.8,8.2,3.2,1.9,"1,065,775","999,927",5.2,4.5
202049,스타트업,tvN,토일,"3,476","41,137","3,394,592",867,140,5,7.5,4.4,2,2.1,"837,286","719,172",4.1,3.2
202049,나를사랑한스파이,MBC,수목,245,363,"109,065",474,71,0.4,0.1,0.1,1.1,1,"461,234","305,352",2.3,1.4
202049,카이로스,MBC,월화,"1,437","3,993","181,141",671,75,2.1,0.7,0.2,1.6,1.1,"539,390","270,542",2.7,1.2
202049,펜트하우스,SBS,월화,"8,846","34,058","9,043,182","1,422",92,12.8,6.2,11.8,3.3,1.4,"2,662,618","1,678,670",13.1,7.5
202049,KBS드라마스페셜2020,KBS2,수목,112,327,"58,256",413,23,0.2,0.1,0.1,1,0.3,"323,715","118,293",1.6,0.5
202049,제발그남자만나지마요,MBCevery1,월화,95,403,"19,869",268,29,0.1,0.1,0,0.6,0.4,"68,764","84,059",0.3,0.4
202049,라이브온,JTBC,월화,595,"5,153","960,119",395,29,0.9,0.9,1.3,0.9,0.4,"178,715","120,449",0.9,0.5
202049,복수해라,TVCHOSUN,토일,172,186,"20,303",321,18,0.2,0,0,0.7,0.3,"446,569","151,636",2.2,0.7
202049,경이로운소문,OCN,토일,"2,219","11,280","1,391,946",815,116,3.2,2.1,1.8,1.9,1.7,"1,135,025","992,736",5.6,4.4
202049,낮과밤,tvN,월화,847,"2,900","406,184","1,102",100,1.2,0.5,0.5,2.6,1.5,"865,580","639,627",4.3,2.8
202049,바람피면죽는다,KBS2,수목,618,"1,554","351,372","2,194",73,0.9,0.3,0.5,5.1,1.1,"813,711","403,660",4,1.8
202049,여신강림,tvN,수목,562,"6,541","1,328,398","1,357",27,0.8,1.2,1.7,3.2,0.4,0,0,0,0
202049,철인왕후,tvN,토일,559,"3,171","1,057,780",415,20,0.8,0.6,1.4,1,0.3,0,0,0,0
202049,런온,JTBC,수목,146,793,"8,509",319,13,0.2,0.1,0,0.7,0.2,0,0,0,0
202049,암행어사조선비밀수사단,KBS2,월화,109,311,"14,180",326,6,0.2,0.1,0,0.8,0.1,0,0,0,0
202050,오삼광빌라,KBS2,토일,999,"3,474","685,510",732,69,1.3,0.5,0.9,1.6,1,"5,024,242","1,959,680",24.7,8.7
202050,나를사랑한스파이,MBC,수목,219,368,"111,209",373,69,0.3,0.1,0.1,0.8,1,"456,665","287,082",2.2,1.3
202050,카이로스,MBC,월화,"1,442","4,075","192,634",726,76,1.9,0.6,0.2,1.6,1.1,"495,635","275,540",2.4,1.2
202050,펜트하우스,SBS,월화,"12,120","54,641","13,776,614","1,672",107,15.9,8.6,17.3,3.6,1.6,"3,266,064","2,100,730",16,9.4
202050,KBS드라마스페셜2020,KBS2,수목,137,294,"21,563",531,22,0.2,0,0,1.2,0.3,"270,021","113,443",1.3,0.5
202050,제발그남자만나지마요,MBCevery1,월화,76,494,"40,866",156,33,0.1,0.1,0.1,0.3,0.5,"74,116","64,858",0.4,0.3
202050,라이브온,JTBC,월화,832,"8,731","1,610,913",432,30,1.1,1.4,2,0.9,0.4,"116,728","95,655",0.6,0.4
202050,복수해라,TVCHOSUN,토일,138,178,"15,107",228,21,0.2,0,0,0.5,0.3,"352,539","91,047",1.7,0.4
202050,경이로운소문,OCN,토일,"4,246","22,052","5,303,929",726,121,5.6,3.5,6.6,1.6,1.8,"1,427,572","1,309,447",7,5.8
202050,낮과밤,tvN,월화,453,"1,943","546,102",751,104,0.6,0.3,0.7,1.6,1.5,"730,536","465,218",3.6,2.1
202050,바람피면죽는다,KBS2,수목,395,886,"169,385",842,37,0.5,0.1,0.2,1.8,0.5,"615,376","349,002",3,1.6
