프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청자수(K),개인시청자수(K),남성시청자수(K),여성시청자수(K),10대시청자수(K),20대시청자수(K),30대시청자수(K),40대시청자수(K),50대시청자수(K),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
청춘기록,2020.09.07,tvN,월화,"34,300","167,309","11,787","4,675",448,"1,408","2,058",808,"1,250",112,138,286,489,494,1.1,"14,047","20,882","18,382","33,025"
브람스를좋아하세요,2020.08.31,SBS,월화,"28,769","183,984","7,920","2,240",233,736,"1,128",452,675,41,79,148,252,235,0.1,105,"4,469","3,171","18,894"
스타트업,2020.10.17,tvN,토일,"15,781","82,843","4,382","3,754",345,801,"1,319",556,763,111,137,169,320,300,0.6,10,79,85,"2,121"
구미호뎐,2020.10.07,tvN,수목,"15,281","83,158","18,310","4,194",488,"1,054","1,713",750,963,144,132,302,551,329,1.1,"5,724","6,329","29,865","81,968"
18어게인,2020.09.21,JTBC,월화,"9,977","81,255","7,482","2,593",340,613,982,434,547,87,95,112,234,295,0.8,"1,910","8,438","12,784","77,150"
비밀의숲2,2020.08.15,tvN,토일,"8,942","39,235","1,921",466,88,"1,532","2,426","1,119","1,307",127,188,355,689,575,0.5,"2,483","32,347","11,859","38,263"
도도솔솔라라솔,2020.10.07,KBS2,수목,"6,151","33,236","2,041","2,471",285,521,778,300,478,62,43,78,183,179,0.3,"1,840","4,774","4,629","10,650"
펜트하우스,2020.10.26,SBS,월화,"5,761","22,099","2,720","3,058",141,"1,311","1,916",809,"1,107",88,128,204,434,553,0.1,29,217,"2,458","5,296"
사생활,2020.10.07,JTBC,수목,"4,987","20,700","1,444","2,693",238,385,588,271,316,18,54,81,135,164,1,"1,413","9,878","1,724","6,115"
오!삼광빌라!,2020.09.19,KBS2,토일,"4,111","9,057","3,093","2,139",314,"4,196","5,814","2,408","3,406",234,327,377,694,"1,436",0.3,"5,768","1,844","15,354","14,333"
경우의수,2020.09.25,JTBC,금,"3,287","33,851","2,814","1,719",322,274,481,208,273,35,49,41,134,109,0.1,337,"1,090","1,407","4,288"
거짓말의거짓말,2020.09.04,채널A,금,"2,787","10,557","3,151","1,695",230,945,"1,341",524,817,47,105,123,189,437,0.1,701,"2,538","7,327","17,080"
써치,2020.10.17,OCN,토일,"2,694","14,707","1,542","1,465",281,563,939,447,493,81,68,99,278,250,0.3,-,-,-,-
앨리스,2020.08.28,SBS,금,"2,554","14,406","3,724","2,241",184,"1,250","1,903",880,"1,023",111,108,186,542,506,0.4,"3,328","1,289","7,288","20,054"
카이로스,2020.10.26,MBC,월화,"2,526","8,225",300,"2,071",96,652,910,411,499,37,50,100,172,225,0,-,-,277,"1,275"
내가가장예뻤을때,2020.08.19,MBC,수목,"2,422","10,036","1,916","1,039",161,602,806,293,513,28,41,99,124,179,0,295,426,"1,319","2,959"
미씽그들이있었다,2020.08.29,OCN,토일,"2,087","4,924","1,000",427,194,637,"1,015",462,553,65,66,144,341,253,0.3,-,-,-,-
트웬티트웬티,2020.09.06,JTBC,토일,"1,422","20,702","5,512",326,22,98,149,72,77,14,10,15,29,48,-,-,299,18,"4,248"
나를사랑한스파이,2020.10.21,MBC,수목,"1,187","3,045",465,"2,044",178,627,986,453,533,61,82,105,225,236,0.1,642,"2,356","1,158","6,304"
좀비탐정,2020.09.21,KBS2,월화,"1,140","4,228",316,"1,789",167,491,725,348,377,41,43,61,165,167,0.2,"4,158","4,531","4,266","7,033"
나의위험한아내,2020.10.05,MBN,월화,751,"2,156",369,"2,046",300,400,522,227,295,12,32,24,75,175,0.2,149,"2,394","1,737","6,819"
날아라개천용,2020.10.30,SBS,금,641,"1,315",366,"1,843",119,922,"1,289",586,703,65,99,121,313,362,0,949,94,"1,331",206
산후조리원,2020.11.02,tvN,월화,241,960,138,851,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-
연애는귀찮지만외로운건싫어,2020.08.11,MBCeve,월화,165,511,63,487,70,31,49,26,23,6,1,6,11,15,0,181,117,318,"1,740"
라이브온,2020.11.17,JTBC,월화,117,"1,201",168,175,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KBS드라마스페셜2020,2020.11.07,KBS2,수목,66,138,10,188,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제발그남자만나지마요,2020.11.10,MBCeve,월화,22,31,3,256,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
시네마틱드라마SF8,2020.08.14,MBC,금,19,37,7,57,14,264,376,184,191,22,30,79,80,81,-,-,-,-,-
복수해라,2020.11.21,TVCHOS,토일,11,18,1,85,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
펜트하우스,2020.10.26,SBS,월화,"22,167","78,151","26,241","5,854",320,"2,224","3,247","1,373","1,874",134,286,354,675,988,0.8,"2,676","12,006","15,031","57,882"
스타트업,2020.10.17,tvN,토일,"20,213","189,442","14,005","4,429",655,818,"1,354",539,816,125,155,129,403,312,1,"7,343","17,280","15,493","34,017"
구미호뎐,2020.10.07,tvN,수목,"10,475","85,552","25,057","3,326",481,989,"1,608",687,922,162,141,238,548,313,0.7,"3,654","10,196","29,859","92,870"
도도솔솔라라솔,2020.10.07,KBS2,수목,"6,844","38,213","1,883","1,746",249,487,731,289,441,49,60,67,176,177,0.1,"2,171","2,880","5,575","7,828"
카이로스,2020.10.26,MBC,월화,"6,642","22,825","1,140","2,773",274,533,716,312,404,24,42,64,163,165,0.3,"3,814","7,359","1,680","9,910"
오!삼광빌라!,2020.09.19,KBS2,토일,"5,282","11,668","4,909","2,803",308,"4,737","6,771","2,811","3,959",286,436,397,894,"1,670",0.4,"9,256","7,922","27,053","18,370"
산후조리원,2020.11.02,tvN,월화,"4,621","37,289","13,517","4,549",470,719,"1,151",413,738,66,127,227,280,228,0.1,"5,726","7,611","15,915","30,434"
18어게인,2020.09.21,JTBC,월화,"3,213","30,010","4,464","1,958",165,605,996,426,570,85,120,100,233,269,0.3,"1,396","7,771","6,035","25,283"
경우의수,2020.09.25,JTBC,금,"2,202","18,884","2,120","2,253",211,273,436,193,243,25,37,29,146,109,0.2,"1,420","2,352","1,754","7,756"
사생활,2020.10.07,JTBC,수목,"1,990","12,623","1,223","1,921",198,303,451,207,244,14,38,45,101,147,0.5,"1,387","5,819",526,"9,885"
라이브온,2020.11.17,JTBC,월화,"1,740","15,344","1,709","2,662",64,250,368,159,208,14,28,46,103,78,0,108,410,"1,423","4,422"
써치,2020.10.17,OCN,토일,"1,669","8,424","1,137",786,235,746,"1,200",546,654,91,88,127,353,335,0.4,-,-,-,-
경이로운소문,2020.11.28,OCN,토일,"1,473","5,865",573,"2,417",188,799,"1,296",616,680,88,105,149,416,341,0.6,-,-,-,-
나를사랑한스파이,2020.10.21,MBC,수목,"1,163","2,557",427,"1,820",212,530,767,339,428,44,44,86,183,198,0.1,"1,628","9,611","1,055","10,508"
청춘기록,2020.09.07,tvN,월화,"1,105","1,434",0,14,0,-,-,-,-,-,-,-,-,-,-,-,410,382,"15,720"
날아라개천용,2020.10.30,SBS,금,982,"2,141",646,"2,233",203,943,"1,356",638,718,65,90,125,349,376,0.2,"4,362","6,481","8,897","14,519"
복수해라,2020.11.21,TVCHOS,토일,696,920,82,"2,403",73,568,759,339,420,20,70,39,82,193,0.1,334,589,995,"1,459"
낮과밤,2020.11.30,tvN,월화,608,"3,473",233,"1,833",104,910,"1,363",600,764,52,143,133,361,366,0.1,70,-,20,-
철인왕후,2020.12.12,tvN,토일,553,"3,815","1,087",843,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KBS드라마스페셜2020,2020.11.07,KBS2,수목,550,"1,178",140,"2,167",152,347,477,186,291,22,30,43,73,137,0,35,831,40,"1,805"
허쉬,2020.12.11,JTBC,금,511,"1,544",138,926,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
여신강림,2020.12.09,tvN,수목,439,"2,631",399,901,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
나의위험한아내,2020.10.05,MBN,월화,391,639,309,"1,704",286,391,495,186,310,11,33,26,81,169,0.1,126,940,"2,584","9,209"
제발그남자만나지마요,2020.11.10,MBCeve,월화,389,"1,353",86,"1,484",93,72,128,46,82,17,11,17,47,28,0.1,745,"3,843",344,"2,354"
바람피면죽는다,2020.12.02,KBS2,수목,185,401,53,826,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
런온,2020.12.16,JTBC,수목,143,942,53,319,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
트웬티트웬티,2020.09.06,JTBC,토일,67,249,11,92,0,76,109,54,55,6,10,13,11,43,-,-,-,-,-
암행어사조선비밀수사단,2020.12.21,KBS2,월화,22,194,14,73,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
